Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,polygon.started,polygon.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
32:36,None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,0,7,7,8,0,3,3,1,,,,,,,,,,,103.33331230003387,None,2,0.19343720003962517,103.05821250006557,None,103.05821250006557,None,103.05821250006557,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
32:36,None,3,armchair.jpg,Furniture,ArrowRight.png,None,None,0,7,7,8,,,,,0,0,0,2,,,,,,,104.74171580001712,None,,,,,,,,,2,0.3054068998899311,104.35799510008655,None,104.35799510008655,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
32:36,None,1,van.jpg,Vehicles,ArrowLeft.png,None,None,0,7,7,8,,,,,0,1,1,1,,,,,,,106.12556369998492,None,,,,,,,,,2,0.1992072002030909,105.82893860014156,None,105.82893860014156,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
32:36,None,2,bed.jpg,Furniture,ArrowUp.png,None,None,0,7,7,8,,,,,0,2,2,3,,,,,,,107.3594639999792,None,,,,,,,,,2,0.0950893999543041,107.21132660005242,None,107.21132660005242,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
32:36,None,2,train,Vehicles,ArrowUp.png,None,None,0,7,7,8,,,,,0,3,3,0,,,,,,,108.72028570016846,None,,,,,,,,,2,0.19696240010671318,108.44434500019997,None,108.44434500019997,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
32:36,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
8:12,None,2,kangaroo.jpg,Animal,ArrowUp.png,None,None,0,8,8,2,0,0,0,3,,,,,,,,,,,110.97844830015674,None,2,0.11715939990244806,110.84510110015981,None,110.84510110015981,None,110.84510110015981,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
8:12,None,1,hippopotamus.jpg,Animal,ArrowLeft.png,None,None,0,8,8,2,0,1,1,1,,,,,,,,,,,112.46192310005426,None,2,0.3061671999748796,112.06066479999572,None,112.06066479999572,None,112.06066479999572,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
8:12,None,2,giraffe.jpg,Animal,ArrowUp.png,None,None,0,8,8,2,0,2,2,0,,,,,,,,,,,113.82927049999125,None,1,0.27287800004705787,113.53854840015993,None,113.53854840015993,None,113.53854840015993,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
8:12,None,3,horse.jpg,Animal,ArrowRight.png,None,None,0,8,8,2,0,3,3,2,,,,,,,,,,,115.2278652000241,None,3,0.2750293000135571,114.84529530000873,None,114.84529530000873,None,114.84529530000873,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
8:12,None,3,horse.jpg,Animal,ArrowRight.png,None,None,0,8,8,2,,,,,0,0,0,2,,,,,,,116.64713420020416,None,,,,,,,,,3,0.2949080001562834,116.33100520004518,None,116.33100520004518,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
8:12,None,2,giraffe.jpg,Animal,ArrowUp.png,None,None,0,8,8,2,,,,,0,1,1,0,,,,,,,118.19586400012486,None,,,,,,,,,3,0.4124086000956595,117.71602390008047,None,117.71602390008047,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
8:12,None,2,kangaroo.jpg,Animal,ArrowUp.png,None,None,0,8,8,2,,,,,0,2,2,3,,,,,,,119.74857050017454,None,,,,,,,,,2,0.47172629996202886,119.21477020019665,None,119.21477020019665,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
8:12,None,1,hippopotamus.jpg,Animal,ArrowLeft.png,None,None,0,8,8,2,,,,,0,3,3,1,,,,,,,121.68273910018615,None,,,,,,,,,2,0.8884689002297819,120.75099109997973,None,120.75099109997973,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
